Index,REF,"Preço V
€ Unit","Vendas
Unit","Vendas
€","Valor C
€ Unit",gr,"Compra
STK",Compras €,gr,cm,"STK
Atual Unit","STK
Atual  €","STK
Vendas €",FAM,image,Foto,Etiq.
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
,,,,€ 0.00,,,,,,,,,,,,,
